298.090, 129.672, 5.832,  6.650 False
297.797, 129.687, 5.883,  6.700 False
297.500, 129.702, 5.953,  6.750 False
297.201, 129.717, 6.025,  6.800 False
296.897, 129.732, 6.102,  6.850 False
296.590, 129.750, 6.165,  6.900 False
296.280, 129.770, 6.219,  6.950 False
295.969, 129.790, 6.254,  7.000 False
295.656, 129.811, 6.283,  7.050 False
295.342, 129.834, 6.300,  7.100 False
295.027, 129.857, 6.323,  7.150 False
294.712, 129.880, 6.347,  7.200 False
294.394, 129.903, 6.384,  7.250 False
294.074, 129.926, 6.425,  7.300 False
293.752, 129.952, 6.479,  7.350 False
293.427, 129.978, 6.536,  7.400 False
293.099, 130.005, 6.600,  7.450 False
292.768, 130.033, 6.656,  7.500 False
292.435, 130.062, 6.710,  7.550 False
292.099, 130.092, 6.747,  7.600 False
291.762, 130.123, 6.781,  7.650 False
291.424, 130.152, 6.805,  7.700 False
291.084, 130.181, 6.833,  7.750 False
290.743, 130.210, 6.861,  7.800 False
290.400, 130.239, 6.899,  7.850 False
290.055, 130.268, 6.942,  7.900 False
289.707, 130.297, 6.997,  7.950 False
289.356, 130.326, 7.050,  8.000 False
289.003, 130.355, 7.107,  8.050 False
288.647, 130.384, 7.154,  8.100 False
288.289, 130.413, 7.199,  8.150 False
287.929, 130.442, 7.234,  8.200 False
287.567, 130.471, 7.270,  8.250 False
287.204, 130.499, 7.300,  8.300 False
286.839, 130.528, 7.337,  8.350 False
286.472, 130.556, 7.372,  8.400 False
286.103, 130.584, 7.417,  8.450 False
285.732, 130.612, 7.461,  8.500 False
285.358, 130.639, 7.511,  8.550 False
284.982, 130.667, 7.556,  8.600 False
284.603, 130.694, 7.603,  8.650 False
284.223, 130.719, 7.642,  8.700 False
283.840, 130.742, 7.684,  8.750 False
283.455, 130.764, 7.722,  8.800 False
283.068, 130.787, 7.764,  8.850 False
282.680, 130.807, 7.801,  8.900 False
282.289, 130.827, 7.845,  8.950 False
281.896, 130.845, 7.884,  9.000 False
281.500, 130.860, 7.928,  9.050 False
281.103, 130.876, 7.969,  9.100 False
280.703, 130.892, 8.016,  9.150 False
280.301, 130.906, 8.056,  9.200 False
279.897, 130.920, 8.102,  9.250 False
279.491, 130.932, 8.142,  9.300 False
279.082, 130.945, 8.186,  9.350 False
278.672, 130.955, 8.225,  9.400 False
278.259, 130.965, 8.269,  9.450 False
277.845, 130.975, 8.307,  9.500 False
277.428, 130.984, 8.349,  9.550 False
277.010, 130.992, 8.377,  9.600 False
